Code,Smiles
IS00258,COC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C)C(C)C)C(C)C
IS00259,[H][C@](CCC(=O)NCCCCNC(=O)CC[C@]([H])(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C
IS00260,Nc1nccc(n1)-c1c[nH]c2ncccc12
IS00261,COc1cc(ncn1)-c1c[nH]c2ncccc12
IS00262,c1[nH]c2ncccc2c1-c1cncnc1
IS00263,COc1cc2c3c(oc2c(B(O)O)c1OC)C(C)CCC1C(C)(C)CCC[C@]31C
IS00264,COC(=O)CC1(CNC(=O)c2ccccc2NC(=O)OC(C)(C)C)CCCCC1
IS00265,COC(=O)CC1(CNC(=O)c2cnccn2)CCCCC1
IS00266,COC(=O)CC1(CNC(=O)c2cccc(NC(=O)CC3(CNC(=O)c4cccc(NC(=O)OC(C)(C)C)c4)CCCCC3)c2)CCCCC1
IS00267,COC(=O)CC1(CNC(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CCCCC1
IS00268,[H]C([H])(NC(=O)CC1(CNC(=O)OC(C)(C)C)CCCCC1)C(N)=O
IS00269,COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(NC(C)=O)C(C)C)C(C)C
IS00270,COC(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(C)=O
IS00271,CNC(=O)[C@H]1CCCN1C(=O)CC1(CCCCC1)NC(=O)CC1(CNC(=O)OC(C)(C)C)CCCCC1
IS00272,Cc1ccc(cc1)-c1cnccn1
IS00273,Cc1cccc(c1)-c1cnccn1
IS00274,COc1cccc(c1)-c1cnccn1
IS00275,Brc1ccc(cc1)-c1cnccn1
IS00276,Clc1ccc(cc1)-c1cnccn1
IS00277,Clc1cccc(c1)-c1cnccn1
IS00278,Fc1ccc(cc1)-c1cnccn1
IS00279,c1ccc(cc1)-c1cnc2ccccc2n1
IS00280,Cc1ccc(cc1)-c1cnc2ccccc2n1
IS00281,COc1ccc(cc1)-c1cnc2ccccc2n1
IS00282,Clc1cccc(c1)-c1cnc2ccccc2n1
IS00283,Fc1ccc(cc1)-c1cnc2ccccc2n1
IS00284,Cc1ccc(cc1)C1=CC(=O)C=CC1=O
IS00285,COc1ccc(cc1)C1=CC(=O)C=CC1=O
IS00286,Oc1c2CC3CCCCC3(Oc2c(C=O)c(O)c1C=O)c1ccccc1
IS00287,CC(=O)c1c(O)c2CC3CC4C[C@H](C4(C)C)C3(C)Oc2c(C(C)=O)c1O
IS00288,CC(=O)c1c(O)c2CC3CC4[C@@H](CC3(C)Oc2c(C(C)=O)c1O)C4(C)C
IS00289,CC(=O)c1c(O)c2CC3CCCCC3(C)Oc2c(C(C)=O)c1O
IS00290,CC(=O)c1c(O)c2CC3CCCCC3(Oc2c(C(C)=O)c1O)c1ccccc1
IS00291,CC(C)CC(=O)c1c(O)c2CC3CC4C[C@H](C4(C)C)C3(C)Oc2c(C(=O)CC(C)C)c1O
IS00292,CC(C)CC(=O)c1c(O)c2CC3CC4[C@@H](CC3(C)Oc2c(C(=O)CC(C)C)c1O)C4(C)C
IS00293,CC(C)CC(=O)c1c(O)c2CC3CCCCC3(C)Oc2c(C(=O)CC(C)C)c1O
IS00294,CC(C)CC(=O)c1c(O)c2CC3CCCCC3(Oc2c(C(=O)CC(C)C)c1O)c1ccccc1
IS00295,CC1(C)C2CC3Cc4c(O)c(C=O)c(O)c(C=O)c4OC3(C)C[C@@H]12
IS00296,CC1(C)O[C@H]2O[C@@H]3COCC#Cc4ccccc4CO[C@@H]3[C@H]2O1
IS00297,CC1(C)O[C@H]2O[C@@H]3COCc4ccccc4C#CCO[C@@H]3[C@H]2O1
IS00298,CC1(C)O[C@H]2O[C@H]3[C@H](OCC#Cc4ccccc4COC3COC(c3ccccc3)(c3ccccc3)c3ccccc3)[C@H]2O1
IS00299,C(OCc1ccccc1)[C@@H]1O[C@@H]2OCC#Cc3ccccc3CO[C@H]2[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1
IS00300,CC(=O)OCC1OCC#Cc2ccccc2CO[C@@H]2[C@H]3OC(C)(C)O[C@H]3O[C@H]12
IS00301,CO[C@H]1OC2COC(O[C@H]2C(O)[C@@H]1O)c1ccccc1
IS00302,CO[C@H]1OC(COC(c2ccccc2)(c2ccccc2)c2ccccc2)[C@@H](OC(C)=O)C(OC(C)=O)C1OC(C)=O
IS00303,CO[C@H]1OC(CO[Si](C)(C)C(C)(C)C)[C@@H](O[Si](C)(C)C(C)(C)C)C(OCc2ccccc2)[C@@H]1OCc1ccccc1
IS00304,CO[C@H]1OC2COC(O[C@H]2C(OC(C)=O)[C@@H]1OC(C)=O)c1ccccc1
IS00339,Oc1cccc(c1)C(c1c[nH]c2ccc(Br)cc12)c1c[nH]c2ccc(Br)cc12
IS00340,COc1ccc(C(c2c[nH]c3ccc(Br)cc23)c2c[nH]c3ccc(Br)cc23)c(OC)c1
IS00341,Brc1ccc2[nH]cc(C(c3cccs3)c3c[nH]c4ccc(Br)cc34)c2c1
IS00342,Fc1ccc(cc1)C(c1c[nH]c2ccc(cc12)C#N)c1c[nH]c2ccc(cc12)C#N
IS00343,CN(C)c1ccc(cc1)C(c1c[nH]c2ccc(Br)cc12)c1c[nH]c2ccc(Br)cc12
IS00344,COc1cc(OC)cc(c1)C(c1c[nH]c2ccc(Br)cc12)c1c[nH]c2ccc(Br)cc12
IS00345,Clc1ccc(Sc2c[nH]c3ccccc23)cc1
IS00346,S(c1c[nH]c2ccccc12)c1ccc2ccccc2c1
IS00347,Cc1ccc(cc1)S(=O)(=O)Nc1nc2ccccc2nc1Cl
IS00348,C1CN(CCO1)c1nc2ccccc2nc1N1CCOCC1
IS00350,COc1cccc(\C=C\C(=O)c2ccc[nH]2)c1OC
IS00351,Clc1cccc(Cl)c1\C=C\C(=O)c1ccc[nH]1
IS00352,Fc1ccc(\C=C\C(=O)c2ccc[nH]2)cc1
IS00353,Brc1ccc(\C=C\C(=O)c2ccc[nH]2)cc1
IS00354,Clc1cccc(Cl)c1\C=C\C(=O)c1ccco1
IS00355,Brc1ccccc1\C=C\C(=O)c1ccco1
IS00357,O=C(\C=C\c1ccccc1)c1ccco1
IS00358,Brc1ccc(\C=C\C(=O)c2ccco2)cc1
IS00359,COc1ccc(\C=C\C(=O)c2ccco2)cc1
IS00360,CCOC(=O)C1=C(C)NC(=O)NC1c1cc(Br)ccc1OC
IS00361,CCOC(=O)C1=C(C)NC(=O)NC1c1cc(OC)c(OC)c(OC)c1
IS00362,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)c(O)c1
IS00364,CCCCCC1NC(=O)NC(C)=C1C(=O)OCC
IS00365,CCCCC1NC(=O)NC(C)=C1C(=O)OCC
IS00366,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)cc1
